time_limit,benchmark,job_n,mc_n,instance_i,makespan,run_t,convergence
10,DMU,20,15,0,2638.0,10.0474,2
10,DMU,20,15,1,2772.0,10.0723,2
10,DMU,20,15,2,2805.0,10.0485,2
10,DMU,20,15,3,2723.0,10.0713,2
10,DMU,20,15,4,2808.0,10.0855,2
10,DMU,20,15,5,3478.0,10.0551,2
10,DMU,20,15,6,3641.0,9.9742,2
10,DMU,20,15,7,3669.0,10.0485,2
10,DMU,20,15,8,3762.0,10.0995,2
10,DMU,20,15,9,3471.0,10.0495,2
10,DMU,20,20,0,3374.0,10.0572,2
10,DMU,20,20,1,3145.0,9.9353,2
10,DMU,20,20,2,3256.0,10.041,2
10,DMU,20,20,3,3240.0,10.0775,2
10,DMU,20,20,4,3057.0,10.0589,2
10,DMU,20,20,5,4352.0,10.0294,2
10,DMU,20,20,6,4237.0,10.0612,2
10,DMU,20,20,7,4061.0,9.9531,2
10,DMU,20,20,8,4048.0,10.0699,2
10,DMU,20,20,9,4091.0,9.9003,2
10,DMU,30,15,0,3856.0,10.17,2
10,DMU,30,15,1,3900.0,10.0244,2
10,DMU,30,15,2,4028.0,10.0669,2
10,DMU,30,15,3,3732.0,10.0564,2
10,DMU,30,15,4,3644.0,10.1964,2
10,DMU,30,15,5,4890.0,9.8398,2
10,DMU,30,15,6,5017.0,9.8195,2
10,DMU,30,15,7,4879.0,9.9386,2
10,DMU,30,15,8,4951.0,9.9235,2
10,DMU,30,15,9,4841.0,9.8151,2
10,DMU,30,20,0,4219.0,10.0571,2
10,DMU,30,20,1,4304.0,9.8471,2
10,DMU,30,20,2,4352.0,10.0718,2
10,DMU,30,20,3,4274.0,10.2172,2
10,DMU,30,20,4,4300.0,10.0606,2
10,DMU,30,20,5,5742.0,9.8107,2
10,DMU,30,20,6,5518.0,9.7156,2
10,DMU,30,20,7,5394.0,9.9353,2
10,DMU,30,20,8,5360.0,9.8818,2
10,DMU,30,20,9,5603.0,10.0192,2
10,DMU,40,15,0,4789.0,9.8893,2
10,DMU,40,15,1,5116.0,9.9262,2
10,DMU,40,15,2,5092.0,9.8885,2
10,DMU,40,15,3,4716.0,9.8225,2
10,DMU,40,15,4,4432.0,9.9461,2
10,DMU,40,15,5,6028.0,9.8057,2
10,DMU,40,15,6,6164.0,9.7539,2
10,DMU,40,15,7,6277.0,9.7281,2
10,DMU,40,15,8,6314.0,9.9569,2
10,DMU,40,15,9,6296.0,9.9903,2
10,DMU,40,20,0,5486.0,9.4406,2
10,DMU,40,20,1,5922.0,9.9312,2
10,DMU,40,20,2,5490.0,9.8584,2
10,DMU,40,20,3,5769.0,9.7848,2
10,DMU,40,20,4,5427.0,10.1778,2
10,DMU,40,20,5,7203.0,10.0985,2
10,DMU,40,20,6,7491.0,9.6723,2
10,DMU,40,20,7,7125.0,9.4668,2
10,DMU,40,20,8,7132.0,9.9615,2
10,DMU,40,20,9,7535.0,9.7779,2
10,DMU,50,15,0,6262.0,9.7272,2
10,DMU,50,15,1,5927.0,7.0619,4
10,DMU,50,15,2,6198.0,9.4829,2
10,DMU,50,15,3,6081.0,9.6262,2
10,DMU,50,15,4,6210.0,9.9502,2
10,DMU,50,15,5,7617.0,9.7668,2
10,DMU,50,15,6,7698.0,9.7377,2
10,DMU,50,15,7,7450.0,10.0286,2
10,DMU,50,15,8,7405.0,9.7199,2
10,DMU,50,15,9,7375.0,9.6975,2
10,DMU,50,20,0,6668.0,9.8864,2
10,DMU,50,20,1,6893.0,9.9884,2
10,DMU,50,20,2,6945.0,10.0081,2
10,DMU,50,20,3,6541.0,10.141,2
10,DMU,50,20,4,6514.0,9.929,2
10,DMU,50,20,5,8497.0,9.3982,2
10,DMU,50,20,6,8244.0,9.5241,2
10,DMU,50,20,7,8478.0,9.8579,2
10,DMU,50,20,8,8569.0,9.5737,2
10,DMU,50,20,9,8185.0,9.777,2
60,TA,15,15,0,1231.0,2.1155,4
60,TA,15,15,1,1244.0,46.2312,4
60,TA,15,15,2,1218.0,18.0024,4
60,TA,15,15,3,1175.0,29.9424,4
60,TA,15,15,4,1230.0,60.096,2
60,TA,15,15,5,1244.0,60.0889,2
60,TA,15,15,6,1228.0,60.0763,2
60,TA,15,15,7,1217.0,60.1028,2
60,TA,15,15,8,1282.0,60.0744,2
60,TA,15,15,9,1241.0,27.2661,4
60,TA,20,15,0,1380.0,60.0784,2
60,TA,20,15,1,1382.0,60.0918,2
60,TA,20,15,2,1364.0,60.1058,2
60,TA,20,15,3,1345.0,13.8311,4
60,TA,20,15,4,1362.0,60.1274,2
60,TA,20,15,5,1390.0,60.0815,2
60,TA,20,15,6,1462.0,14.2241,4
60,TA,20,15,7,1431.0,60.1192,2
60,TA,20,15,8,1361.0,60.0856,2
60,TA,20,15,9,1355.0,60.1848,2
60,TA,20,20,0,1658.0,60.1348,2
60,TA,20,20,1,1633.0,60.0922,2
60,TA,20,20,2,1598.0,60.089,2
60,TA,20,20,3,1655.0,60.1097,2
60,TA,20,20,4,1643.0,60.1035,2
60,TA,20,20,5,1683.0,60.1332,2
60,TA,20,20,6,1700.0,60.1017,2
60,TA,20,20,7,1631.0,60.0856,2
60,TA,20,20,8,1641.0,60.1189,2
60,TA,20,20,9,1625.0,60.1013,2
60,TA,30,15,0,1820.0,60.2014,2
60,TA,30,15,1,1896.0,60.1901,2
60,TA,30,15,2,1916.0,60.107,2
60,TA,30,15,3,1944.0,60.1185,2
60,TA,30,15,4,2007.0,2.1166,4
60,TA,30,15,5,1864.0,60.2936,2
60,TA,30,15,6,1871.0,60.1514,2
60,TA,30,15,7,1744.0,60.1426,2
60,TA,30,15,8,1835.0,60.1395,2
60,TA,30,15,9,1749.0,60.1196,2
60,TA,30,20,0,2091.0,60.1341,2
60,TA,30,20,1,2031.0,60.1531,2
60,TA,30,20,2,1981.0,60.3183,2
60,TA,30,20,3,2068.0,60.176,2
60,TA,30,20,4,2087.0,60.1412,2
60,TA,30,20,5,2145.0,60.1558,2
60,TA,30,20,6,2020.0,60.1467,2
60,TA,30,20,7,2101.0,60.1518,2
60,TA,30,20,8,2109.0,60.1734,2
60,TA,30,20,9,2012.0,60.1055,2
60,TA,50,15,0,2874.0,60.5662,2
60,TA,50,15,1,2817.0,60.189,2
60,TA,50,15,2,2828.0,60.1956,2
60,TA,50,15,3,2846.0,60.0035,2
60,TA,50,15,4,2793.0,60.2075,2
60,TA,50,15,5,2927.0,60.1853,2
60,TA,50,15,6,2980.0,60.1676,2
60,TA,50,15,7,2985.0,60.1892,2
60,TA,50,15,8,2845.0,60.2285,2
60,TA,50,15,9,2835.0,60.1982,2
60,TA,50,20,0,3141.0,59.9137,2
60,TA,50,20,1,3074.0,60.1783,2
60,TA,50,20,2,2905.0,60.2013,2
60,TA,50,20,3,2850.0,60.0809,2
60,TA,50,20,4,2923.0,60.2073,2
60,TA,50,20,5,3070.0,60.0216,2
60,TA,50,20,6,2973.0,60.1863,2
60,TA,50,20,7,2954.0,60.3882,2
60,TA,50,20,8,3247.0,60.1777,2
60,TA,50,20,9,3263.0,60.2015,2
60,TA,100,20,0,5939.0,59.7624,2
60,TA,100,20,1,5799.0,57.8595,2
60,TA,100,20,2,6081.0,58.6305,2
60,TA,100,20,3,5773.0,59.6877,2
60,TA,100,20,4,5960.0,58.6942,2
60,TA,100,20,5,5979.0,59.8541,2
60,TA,100,20,6,5730.0,59.074,2
60,TA,100,20,7,5815.0,58.3188,2
60,TA,100,20,8,5662.0,59.2727,2
60,TA,100,20,9,5629.0,60.1872,2
60,LA,10,5,0,666.0,0.035,4
60,LA,10,5,1,655.0,0.0548,4
60,LA,10,5,2,597.0,0.0409,4
60,LA,10,5,3,590.0,0.0416,4
60,LA,10,5,4,593.0,0.0249,4
60,LA,15,5,0,926.0,0.0686,4
60,LA,15,5,1,890.0,0.0544,4
60,LA,15,5,2,863.0,0.0704,4
60,LA,15,5,3,951.0,0.0516,4
60,LA,15,5,4,958.0,0.0552,4
60,LA,20,5,0,1222.0,0.0987,4
60,LA,20,5,1,1039.0,0.1144,4
60,LA,20,5,2,1150.0,0.1594,4
60,LA,20,5,3,1292.0,0.0654,4
60,LA,20,5,4,1207.0,0.1308,4
60,LA,10,10,0,945.0,0.2151,4
60,LA,10,10,1,784.0,0.0723,4
60,LA,10,10,2,848.0,0.1018,4
60,LA,10,10,3,842.0,0.3532,4
60,LA,10,10,4,902.0,0.1363,4
60,LA,15,10,0,1046.0,53.6532,4
60,LA,15,10,1,927.0,0.5752,4
60,LA,15,10,2,1032.0,0.3189,4
60,LA,15,10,3,935.0,15.9399,4
60,LA,15,10,4,977.0,16.8891,4
60,LA,20,10,0,1218.0,2.5049,4
60,LA,20,10,1,1235.0,28.2417,4
60,LA,20,10,2,1216.0,1.5097,4
60,LA,20,10,3,1170.0,60.0813,2
60,LA,20,10,4,1355.0,1.1942,4
60,LA,30,10,0,1784.0,0.469,4
60,LA,30,10,1,1850.0,2.5053,4
60,LA,30,10,2,1719.0,0.9233,4
