benchmark,job_n,mc_n,instance_i,agent_type,action_type,rule,makespan,time
TA,20,20,2,rule,buffer,SPT,1933,0.3876
TA,20,20,3,rule,buffer,LTT,1919,0.3622
TA,20,20,3,rule,buffer,MOR,1927,0.3622
TA,20,20,3,rule,buffer,FDD/MWKR,1946,0.3622
TA,20,20,3,rule,buffer,LRPT,1982,0.3622
TA,20,20,3,rule,buffer,SPT,2230,0.3622
TA,20,20,4,rule,buffer,LTT,1873,0.3429
TA,20,20,4,rule,buffer,MOR,1854,0.3429
TA,20,20,4,rule,buffer,FDD/MWKR,1901,0.3429
TA,20,20,4,rule,buffer,LRPT,1941,0.3429
TA,20,20,4,rule,buffer,SPT,1950,0.3429
TA,20,20,5,rule,buffer,LTT,1921,0.3259
TA,20,20,5,rule,buffer,MOR,1960,0.3259
TA,20,20,5,rule,buffer,FDD/MWKR,1997,0.3259
TA,20,20,5,rule,buffer,LRPT,1951,0.3259
TA,20,20,5,rule,buffer,SPT,2188,0.3259
TA,20,20,6,rule,buffer,LTT,1979,0.3397
TA,20,20,6,rule,buffer,MOR,2064,0.3397
TA,20,20,6,rule,buffer,FDD/MWKR,2097,0.3397
TA,20,20,6,rule,buffer,LRPT,2091,0.3397
TA,20,20,6,rule,buffer,SPT,2096,0.3397
