benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan,run_t,mean_transit_t,decision_n
TA,100,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5861,102.5612,0.055,1864
TA,100,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5446,104.8858,0.0549,1911
TA,100,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5546,105.0038,0.055,1909
TA,100,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5479,105.3327,0.0547,1926
TA,100,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5485,105.709,0.055,1923
TA,100,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5466,104.634,0.0547,1914
TA,100,20,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5420,106.0258,0.055,1927
TA,100,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,5250,105.6308,0.0552,1912
LA,10,5,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,666,1.176,0.0318,37
LA,10,5,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,704,1.056,0.0285,37
LA,10,5,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,660,1.012,0.0337,30
LA,10,5,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,619,1.117,0.0302,37
LA,10,5,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,593,1.229,0.0332,37
LA,15,5,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,926,1.991,0.0306,65
LA,15,5,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,890,1.7486,0.0307,57
LA,15,5,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,863,1.6404,0.0265,62
LA,15,5,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,954,1.7711,0.0264,67
LA,15,5,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,958,1.7862,0.0271,66
LA,20,5,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1222,2.5342,0.0282,90
LA,20,5,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1039,2.894,0.0318,91
LA,20,5,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1155,2.7723,0.0311,89
LA,20,5,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1292,2.6992,0.0303,89
LA,20,5,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1207,2.825,0.0314,90
LA,10,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1008,1.566,0.0307,51
LA,10,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,799,1.5661,0.0307,51
LA,10,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,875,1.5561,0.0311,50
LA,10,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,884,1.756,0.0319,55
LA,10,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,935,1.555,0.0305,51
LA,15,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1160,3.041,0.0307,99
LA,15,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1014,3.1886,0.0316,101
LA,15,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1080,3.134,0.031,101
LA,15,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1058,2.785,0.0281,99
LA,15,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1022,2.8151,0.0268,105
LA,20,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1246,4.7,0.0297,158
LA,20,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1303,5.243,0.0318,165
LA,20,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1271,5.0879,0.0318,160
LA,20,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1310,4.8606,0.0316,154
